date,close,change,volume,open,high,low
20/07/2010,4.21,0(0.00 %),125270,70.0,70.0,69.0
19/07/2010,4.21,0.5(0.72 %),116500,69.5,70.0,69.0
16/07/2010,4.18,0(0.00 %),56830,69.5,69.5,69.0
15/07/2010,4.18,1(1.46 %),155780,68.0,69.5,68.0
14/07/2010,4.12,-1(-1.44 %),78990,69.5,69.5,68.5
13/07/2010,4.18,1(1.46 %),480870,70.0,70.0,69.0
12/07/2010,4.12,-0.5(-0.72 %),70640,67.5,68.5,67.5
09/07/2010,4.15,-0.5(-0.72 %),43130,69.5,69.5,68.5
08/07/2010,4.18,2(2.96 %),170440,68.5,70.0,68.5
07/07/2010,4.06,-0.5(-0.74 %),118100,69.0,69.0,67.5
06/07/2010,4.09,-0.5(-0.73 %),256550,69.0,69.0,67.5
05/07/2010,4.12,0.5(0.74 %),165700,69.0,69.0,68.0
02/07/2010,4.09,-2(-2.86 %),133410,69.0,69.0,67.5
01/07/2010,4.21,1(1.45 %),276410,68.0,70.0,68.0
30/06/2010,4.15,-0.5(-0.72 %),104470,69.5,69.5,67.5
29/06/2010,4.18,1.5(2.21 %),481940,69.0,70.0,68.5
28/06/2010,4.09,-0.5(-0.73 %),53210,68.0,68.5,68.0
25/06/2010,4.12,-1(-1.44 %),113780,68.5,69.5,68.0
24/06/2010,4.18,2(2.96 %),315930,67.5,70.5,67.5
23/06/2010,4.06,-2.5(-3.57 %),85850,69.0,69.5,67.5
22/06/2010,4.21,1(1.45 %),272670,69.0,70.0,68.5
21/06/2010,4.15,1.5(2.22 %),190170,69.0,69.0,68.0
18/06/2010,4.06,-1(-1.46 %),192690,69.0,69.0,67.5
17/06/2010,4.12,1(1.48 %),284160,68.0,68.5,67.5
16/06/2010,4.06,1(1.50 %),92920,67.5,67.5,66.5
15/06/2010,4.0,-2(-2.92 %),133940,67.0,67.5,66.5
14/06/2010,4.12,1.5(2.24 %),222930,68.0,68.5,68.0
11/06/2010,4.03,0.5(0.75 %),137070,67.5,67.5,66.5
10/06/2010,4.0,0.5(0.76 %),166990,66.0,67.0,66.0
09/06/2010,3.97,1(1.54 %),141270,66.0,66.5,65.5
08/06/2010,3.91,0.5(0.78 %),201830,64.5,65.0,64.5
07/06/2010,3.88,-2.5(-3.73 %),242030,66.0,66.0,64.5
04/06/2010,4.03,0.5(0.75 %),201460,67.0,67.5,67.0
03/06/2010,4.0,0.5(0.76 %),337580,66.0,67.0,66.0
02/06/2010,3.97,0(0.00 %),292360,65.5,66.5,65.5
01/06/2010,3.97,1(1.54 %),208590,65.0,66.0,64.5
31/05/2010,3.91,-1(-1.52 %),196760,66.0,66.0,65.0
28/05/2010,3.97,0.5(0.76 %),475090,67.0,67.0,65.5
27/05/2010,3.94,1(1.55 %),750690,64.5,65.5,64.0
26/05/2010,3.88,0(0.00 %),250910,66.0,66.0,64.0
25/05/2010,3.88,3(4.88 %),247320,63.0,64.5,62.5
24/05/2010,3.7,2.5(4.24 %),151520,60.5,61.5,60.0
21/05/2010,3.55,-2.5(-4.07 %),272680,59.5,61.0,59.0
20/05/2010,3.7,2(3.36 %),89050,58.0,61.5,58.0
19/05/2010,3.58,-1.5(-2.46 %),281930,59.0,60.0,59.0
18/05/2010,3.67,0(0.00 %),281790,60.5,61.5,60.0
17/05/2010,3.67,-2.5(-3.94 %),136050,63.5,63.5,61.0
